timestamp,angulo_brazo_d,angulo_brazo_i,angulo_pierna_d,angulo_pierna_i
1761401191.31,0.84,11.14,179.26,178.72
1761401191.5,2.84,40.3,179.94,178.12
1761401191.56,5.63,69.42,176.65,177.9
1761401191.63,5.49,78.49,174.82,178.22
1761401191.69,5.94,81.65,177.58,178.43
1761401191.76,5.55,91.07,178.3,178.36
1761401191.83,8.77,87.92,179.11,178.35
1761401191.89,9.85,108.94,178.7,178.21
1761401191.96,15.5,103.89,178.95,178.34
1761401192.03,13.4,100.9,179.36,178.36
1761401192.09,15.65,142.72,179.85,178.14
1761401192.16,11.97,152.29,179.78,178.06
1761401192.23,10.61,165.61,179.26,178.34
1761401192.3,10.17,177.36,178.36,178.57
1761401192.37,4.98,110.98,178.28,178.18
1761401192.43,2.03,8.17,178.6,179.33
1761401192.51,0.69,2.9,178.39,179.72
1761401192.57,0.74,5.42,179.03,179.12
1761401192.63,1.33,6.43,178.94,178.67
1761401192.7,2.79,7.73,178.91,178.94
1761401192.77,4.96,9.73,179.52,179.04
1761401192.84,7.01,10.17,179.74,179.73
1761401192.91,11.74,13.47,178.02,179.41
1761401192.97,14.23,15.05,179.91,179.72
1761401193.03,16.91,19.11,179.72,179.98
1761401193.1,20.73,20.76,179.84,179.42
1761401193.16,22.71,22.41,179.44,179.41
1761401193.23,27.24,23.28,179.37,179.88
1761401193.31,31.92,26.35,179.09,179.68
1761401193.37,37.48,27.23,178.39,178.94
1761401193.44,44.48,28.84,178.27,178.84
1761401193.51,57.67,34.4,177.83,179.06
1761401193.57,72.18,39.12,177.93,179.0
1761401193.64,84.97,41.11,177.54,179.36
1761401193.7,98.63,44.22,176.93,179.48
1761401193.77,110.45,44.97,177.7,179.39
1761401193.84,116.93,46.01,177.63,179.27
1761401193.9,119.25,47.0,177.63,179.29
1761401193.97,120.9,46.44,177.9,179.06
1761401194.04,124.06,46.14,178.25,178.73
1761401194.1,124.47,46.36,178.58,178.61
1761401194.17,124.92,46.12,178.47,178.73
1761401194.24,124.54,44.98,179.0,178.76
1761401194.31,124.04,44.95,179.07,178.97
1761401194.37,121.33,44.73,178.97,178.95
1761401194.43,116.22,43.52,178.88,178.99
1761401194.5,107.12,41.14,178.24,178.4
1761401194.57,104.61,35.96,177.87,178.46
1761401194.63,118.85,29.87,175.99,179.1
1761401194.7,144.1,25.0,179.59,176.74
1761401194.77,154.6,111.16,179.21,177.56
1761401194.83,130.35,123.1,179.53,176.95
1761401194.9,129.72,162.36,179.87,176.51
1761401194.97,145.45,157.45,179.17,177.35
1761401195.04,152.17,160.27,178.79,177.84
1761401195.1,143.08,178.01,178.43,178.37
1761401195.17,164.85,179.77,178.7,178.09
1761401195.24,169.64,161.82,178.56,178.29
1761401195.3,167.21,168.12,178.63,177.07
1761401195.37,166.46,144.27,178.82,177.15
1761401195.44,173.4,51.42,178.44,177.66
1761401195.5,170.49,100.05,179.85,178.14
1761401195.57,175.6,100.8,179.67,178.44
1761401195.64,174.92,89.36,178.43,179.46
1761401195.71,170.91,22.24,178.18,179.88
1761401195.77,171.62,3.02,178.57,179.54
1761401195.84,171.82,4.29,176.83,179.15
1761401195.91,173.17,144.75,178.83,179.22
1761401195.97,172.49,145.74,177.38,179.39
1761401196.04,170.74,148.11,176.9,178.94
1761401196.1,171.58,148.16,177.81,179.14
1761401196.17,171.44,136.55,178.7,179.53
1761401196.24,169.78,126.06,177.97,179.41
1761401196.3,166.82,126.07,177.97,179.29
1761401196.37,166.77,3.52,179.48,179.38
1761401196.44,165.08,135.4,179.19,179.39
