timestamp,angulo_brazo_d,angulo_brazo_i,angulo_pierna_d,angulo_pierna_i
1761401142.66,48.05,55.26,176.58,179.56
1761401142.73,49.37,54.3,176.07,179.56
1761401142.8,51.47,54.36,175.72,179.88
1761401142.86,56.16,56.71,175.61,179.74
1761401142.93,62.13,64.04,175.63,179.67
1761401143.0,68.48,78.4,175.98,179.69
1761401143.06,74.17,89.95,176.0,179.13
1761401143.13,78.65,135.09,178.16,179.67
1761401143.2,78.3,123.55,178.09,179.81
1761401143.27,76.35,151.58,178.38,179.91
1761401143.33,75.58,151.78,178.66,179.97
1761401143.4,76.16,160.63,179.09,179.45
1761401143.46,72.09,157.09,179.17,179.6
1761401143.53,67.95,159.22,179.38,179.74
1761401143.6,65.74,163.71,179.99,179.52
1761401143.67,66.61,162.52,178.86,179.07
1761401143.73,66.18,162.79,178.55,179.11
1761401143.8,66.13,163.98,178.49,178.41
1761401143.86,67.68,164.89,176.47,176.42
1761401143.93,67.26,165.57,176.97,175.46
1761401144.0,67.61,166.77,177.42,177.15
1761401144.07,68.33,166.95,177.86,178.83
1761401144.13,69.92,163.4,178.93,179.79
1761401144.2,70.93,166.39,178.79,179.96
1761401144.27,71.76,164.86,179.47,179.02
1761401144.33,73.23,166.44,179.94,178.82
1761401144.4,76.22,166.96,179.95,179.25
1761401144.46,78.4,170.78,179.91,179.97
1761401144.53,86.62,169.16,179.86,177.66
1761401144.6,95.69,165.0,179.95,177.69
1761401144.67,104.76,159.23,179.48,176.62
1761401144.73,113.94,142.67,179.77,177.69
1761401144.8,121.02,100.67,178.02,179.84
1761401144.87,126.85,89.63,177.72,179.49
1761401144.93,130.98,82.24,178.4,179.89
1761401145.0,135.63,76.92,177.64,179.99
1761401145.06,138.14,74.82,177.04,179.79
1761401145.13,141.42,74.18,177.5,179.71
1761401145.19,142.71,72.94,177.23,179.6
1761401145.26,143.81,75.46,177.64,179.43
1761401145.33,146.71,75.87,177.76,179.33
1761401145.4,149.01,73.69,178.68,177.43
1761401145.46,151.15,71.28,178.83,177.57
1761401145.53,154.33,76.06,179.63,176.13
1761401145.6,154.85,73.45,179.33,176.35
1761401145.66,156.43,73.67,179.59,176.63
1761401145.73,157.06,73.85,179.7,177.01
1761401145.8,157.69,89.15,179.59,177.54
1761401145.87,157.35,89.06,179.59,177.6
1761401145.93,156.69,93.08,179.46,177.85
1761401146.0,156.88,91.76,179.48,177.81
1761401146.07,156.41,95.97,179.55,178.02
1761401146.13,156.72,78.89,179.22,178.16
1761401146.2,157.01,77.28,179.06,178.19
1761401146.26,157.59,86.86,179.12,178.29
1761401146.33,157.04,96.9,179.64,177.52
1761401146.39,156.21,98.04,179.92,177.67
1761401146.46,155.22,89.39,179.85,177.66
1761401146.53,153.87,91.44,179.93,177.67
1761401146.6,154.15,99.64,179.94,177.79
1761401146.67,154.69,86.63,179.73,177.83
1761401146.73,155.09,84.84,179.69,177.76
1761401146.8,153.54,88.25,179.69,177.44
1761401146.87,150.35,78.98,179.65,177.53
1761401146.93,146.29,73.81,179.44,177.37
1761401147.0,139.98,76.99,179.68,177.24
1761401147.06,130.5,79.75,179.48,177.28
1761401147.13,118.6,84.28,179.01,178.17
1761401147.2,112.18,95.18,178.22,178.66
1761401147.26,104.96,98.36,177.86,179.06
1761401147.33,99.58,118.69,178.37,178.39
1761401147.4,93.23,153.21,179.37,178.0
1761401147.47,85.86,171.2,179.39,178.34
1761401147.53,81.09,178.47,179.85,178.27
1761401147.6,73.54,160.96,179.86,178.41
1761401147.66,68.74,162.01,179.97,178.44
1761401147.73,64.72,177.63,179.71,178.15
1761401147.8,62.73,166.45,179.62,178.22
1761401147.87,61.95,179.88,179.44,178.76
1761401147.94,62.55,176.75,179.47,178.64
