timestamp,angulo_brazo_d,angulo_brazo_i,angulo_pierna_d,angulo_pierna_i
1761484405.95,167.87,170.11,177.76,176.81
1761484406.02,169.16,174.35,175.68,177.59
1761484406.08,167.52,175.07,175.75,179.3
1761484406.16,168.19,174.34,175.63,179.83
1761484406.22,167.45,174.1,176.53,177.37
1761484406.28,170.25,172.4,176.47,176.66
1761484406.35,168.51,172.56,177.71,175.55
1761484406.42,168.2,171.02,177.13,176.99
1761484406.48,169.45,172.52,175.98,177.46
1761484406.55,178.58,179.0,174.61,173.58
1761484406.62,161.83,156.37,178.19,175.42
1761484406.69,147.17,129.89,178.52,173.08
1761484406.76,144.43,123.19,176.1,170.29
1761484406.83,143.95,118.89,177.59,172.95
1761484406.89,146.03,133.82,179.73,176.09
1761484406.95,157.74,141.93,179.84,173.31
1761484407.02,172.53,176.53,179.59,171.52
1761484407.08,177.03,173.34,175.32,173.82
1761484407.15,167.62,170.54,176.12,176.44
1761484407.22,167.16,169.68,178.02,177.42
1761484407.29,164.79,168.01,178.95,179.18
1761484407.35,169.82,166.94,178.89,177.2
1761484407.42,172.33,168.38,179.98,178.09
1761484407.48,178.07,175.34,179.02,177.64
1761484407.55,167.31,174.08,178.81,175.88
1761484407.62,149.73,158.93,178.05,176.38
1761484407.69,141.39,130.94,173.34,174.35
1761484407.75,133.89,83.89,178.49,174.93
1761484407.82,126.37,75.1,177.81,177.31
1761484407.88,122.82,67.61,176.82,178.7
1761484407.95,121.4,65.35,173.55,178.65
1761484408.02,117.78,62.21,172.08,178.22
1761484408.09,118.99,63.5,171.94,177.64
1761484408.15,123.55,65.71,172.19,176.62
1761484408.22,121.16,69.99,172.77,175.61
1761484408.29,118.48,71.52,175.3,176.07
1761484408.35,119.28,76.98,176.18,178.32
1761484408.42,121.34,87.41,176.68,177.91
1761484408.48,107.97,99.27,175.69,177.31
1761484408.55,88.48,104.14,175.74,179.39
1761484408.62,51.78,110.43,174.12,179.43
1761484408.69,17.89,122.33,173.06,179.59
1761484408.75,6.64,124.31,173.02,179.98
1761484408.82,19.28,130.48,173.47,179.36
1761484408.89,35.11,129.83,172.78,177.99
1761484408.95,44.35,130.16,173.64,179.8
1761484409.02,51.41,130.16,174.75,179.95
1761484409.08,56.55,128.37,174.35,178.98
1761484409.15,64.88,125.57,173.9,178.89
1761484409.22,69.33,125.87,174.77,177.82
1761484409.3,73.76,129.28,174.45,177.47
1761484409.35,75.35,129.24,175.22,177.81
1761484409.42,73.24,130.16,176.55,176.09
1761484409.49,73.25,129.22,176.18,176.18
1761484409.63,72.68,137.11,176.29,176.82
1761484409.68,64.81,139.3,176.73,176.65
1761484409.75,59.53,137.58,176.22,177.7
1761484409.82,50.92,137.58,175.32,177.97
1761484409.89,42.68,138.46,178.64,178.64
1761484409.95,41.73,138.42,172.36,177.41
1761484410.02,142.54,135.59,172.84,176.97
1761484410.08,142.29,113.71,171.42,173.61
1761484410.15,137.53,44.41,172.45,175.06
1761484410.22,140.03,20.58,174.6,173.03
1761484410.28,136.41,35.83,175.42,177.2
1761484410.36,135.42,44.34,174.68,177.0
1761484410.42,137.81,55.63,173.17,176.79
1761484410.48,141.75,64.13,172.89,177.32
1761484410.55,143.94,68.54,172.4,176.75
1761484410.62,148.17,73.53,172.72,176.51
1761484410.68,151.76,80.05,172.66,175.75
1761484410.75,152.69,84.38,172.94,175.82
1761484410.82,151.39,91.33,177.83,176.02
1761484410.88,154.84,91.65,177.2,174.93
1761484410.95,154.13,96.87,178.95,174.5
1761484411.02,155.72,97.6,176.66,176.37
1761484411.08,155.67,96.91,176.45,176.22
1761484411.15,155.88,94.76,176.25,176.26
1761484411.22,156.93,82.02,177.32,176.62
1761484411.28,159.42,70.7,177.35,176.84
1761484411.35,156.17,62.49,176.6,178.4
1761484411.42,153.24,56.94,175.4,178.84
1761484411.48,149.28,48.17,175.3,179.7
1761484411.55,146.86,102.84,175.61,179.45
1761484411.62,148.25,131.76,171.58,179.44
1761484411.69,151.14,133.14,172.08,179.06
1761484411.75,159.95,137.69,171.78,179.68
1761484411.82,174.29,143.15,171.82,179.33
1761484411.88,178.75,143.48,179.8,175.96
1761484411.95,63.13,145.61,178.61,173.66
1761484412.02,37.33,142.96,178.28,173.6
1761484412.08,54.66,143.02,177.61,174.4
1761484412.15,62.85,144.44,177.18,175.06
1761484412.22,67.56,145.64,177.07,176.04
1761484412.28,71.2,148.56,177.7,175.91
